title,price,original_price,rating,reviews,link,image,category
"orbitkey 2-in-1 Tech Accessory Pouch with Detachable Slim Sleeve – Travel Electronics Organiser for Cables, Chargers, Earbuds, Power Bank – Compact Gadget Bag & Portable Tech Storage Case (Black)",SGD 102.64,,4.5,72,N/A,https://m.media-amazon.com/images/I/71xsePOrOUL._AC_UL320_.jpg,electronics
"BAKUN Mini Travel Electronics Accessories Organizer Bag Universal Zipper Travel Cosmetic Makeup Handbag - Padded Gadget Carrying Case for Cables, Portable Chargers, Electronics Adapters(L, Black)",SGD 45.13,,4.4,2,N/A,https://m.media-amazon.com/images/I/61pKFqMWz0L._AC_UL320_.jpg,electronics
"BUBM Triple Set Multiple Function Accessories Storage Bag Case - Large Medium Small Organizer for USB Cables, Memory Cards, Power Cords, Batteries, Mobile Disk, Electronic Gadgets - Gift Ideas",SGD 44.53,SGD 14.84,4.6,1.6K,N/A,https://m.media-amazon.com/images/I/71GCyq1NHQL._AC_UL320_.jpg,electronics
"Double Layers Large Capacity Travel Electronic Accessories Organizer Bag, 2 Front Pockets Travel Gadget Carry Case, Perfect Size Fit for iPad,iPhone,Cables,Power Bank,Tablet(10.2’’)-Black",SGD 37.68,,4.6,550,N/A,https://m.media-amazon.com/images/I/71Jpt5GND3L._AC_UL320_.jpg,electronics
"Travel Accessories Bag, Portable Cable Organiser Bag Travel Electronics Organiser Gadget Cable Bag Cable Pouch, Carrying Case for Tablet, Cable,SD Card, Charger, Power Banks (Black, XSC)",SGD 35.97,,5.0,1,N/A,https://m.media-amazon.com/images/I/71+6XWdLbeL._AC_UL320_.jpg,electronics
"UGREEN Travel Accessories Bag, Portable Cable Organiser Travel Electronics Organiser Small Gadget Cable Bag Pouch, Hard Case for Charger Adapter Power Bank Hard Drive(Black)",SGD 32.54,SGD 34.25,4.6,10.2K,N/A,https://m.media-amazon.com/images/I/81zyW3Ho8vL._AC_UL320_.jpg,electronics
"VanFn Electronics Travel Organizer Storage Bag, Travel Accessory Handle Bag, Gadgets Organizer Pouch",SGD 34.25,,4.6,9,N/A,https://m.media-amazon.com/images/I/71oeQFdz-gL._AC_UL320_.jpg,fashion
"Inateck 180° Open Cable Organiser Bag Electronics Accessories Travel Shoulder Crossbody Bag Gadgets Organizer Travel Case, Accessory Storage Tech Pouch with Handle & Detachable Shoulder Strap, Black",,,4.7,179,N/A,https://m.media-amazon.com/images/I/812gMDSH3GL._AC_UL320_.jpg,electronics
"UGREEN Travel Accessories, Portable Bag Electronics Organiser Large Capacity Tech Pouch for Small Gadget USB Charging Cable Charger Adapter Power Bank Hard Drive SD Card(L)",SGD 32.52,SGD 42.82,4.6,7.7K,N/A,https://m.media-amazon.com/images/I/81qdiCV4MtL._AC_UL320_.jpg,fashion
"flintronic Bluetooth Speaker, Electronic Gadgets with Wireless Charger & Alarm Clock, with Type-C Interface, Foldable Angle & Height Phone Charger Stand with Sound Amplifier, Gifts for Men, Women",SGD 27.40,SGD 30.83,3.8,93,N/A,https://m.media-amazon.com/images/I/61qmG063AEL._AC_UL320_.jpg,electronics
"OUNONA Portable Digital Product Bag Sturdy Shockproof Electronic Storage Case Handle, Black Cable Organizer for Charger, Power Bank and Accessories, Travel-Friendly Gadget Carrying Pouch",SGD 26.71,,,,N/A,https://m.media-amazon.com/images/I/71P1PV78RkL._AC_UL320_.jpg,electronics
"Electronic Accessories Bags, 3 Layer Travel Cable Organiser Bags, 300D Waterproof Large Capacity Universal Travel Gadget Bag, for Earphone Power Bank USB Drive Charger Hard Disk(Black)",SGD 25.00,,4.2,18,N/A,https://m.media-amazon.com/images/I/61hhhI5MfLL._AC_UL320_.jpg,electronics
Lurrose 2pcs Electronic Organizer Bag Durable Digital Accessory Storage for Cables Chargers and Gadgets Convenient Travel Pouch with Easy Zipper Closure and Handle Black,SGD 23.29,,,,N/A,https://m.media-amazon.com/images/I/41Qcm9UoVbL._AC_UL320_.jpg,fashion
"Portable Waterproof Double Layers All-in-One Storage Bag, Travel Cord Organizer，Electronics Accessories Organizer Pouch Bag for Accessories,Charger, USB Cable, Gadget (black)",SGD 22.10,,4.5,16,N/A,https://m.media-amazon.com/images/I/717EFHNgf8L._AC_UL320_.jpg,fashion
"Generisch Travel Cable Organiser, Cable Organiser Bag, Digital USB Gadget Organiser, Digital Gadget Organiser, Charger, Earphone, Storage Box, Electronics Organiser for Outdoor Camping, black, see",,,,,N/A,https://m.media-amazon.com/images/I/61z-4e83HiL._AC_UL320_.jpg,electronics
