title,price,original_price,rating,reviews,link,image,category
Slyart Handmade Black Canvas Wall Art with Black Aluminum Alloy Outer Frame Modern Abstract Oil Paintings Texture Wall Art for Living Room Bedroom Wall Decor,SGD 270.42,,4.6,31,N/A,https://m.media-amazon.com/images/I/81XUQdOjudL._AC_UL320_.jpg,home
"Wall Art,Modern Creative Geometric Circular Metal Wall Sculptures, 58""×18"" Large Black 3D Metal Wall Art Hanging Sculptures for Living Room Dining Room Bedroom, Home Decor for Apartment Bedroom",SGD 263.31,,4.6,63,N/A,https://m.media-amazon.com/images/I/81HAiwnxARL._AC_UL320_.jpg,home
"Minimalist Abstract Woman Silhouette Metal Line Art - Wall Decor for Bedroom, Gift for Her (Black, 13""x24""|33x60cm)",SGD 224.45,,5.0,2,N/A,https://m.media-amazon.com/images/I/71ykfenKS+L._AC_UL320_.jpg,home
"3D Textured Black and White Abstract Wall Art with Vase, Modern Paintings Artwork for Walls, Minimalist Wall Decor for Living Room Dining Room Bedroom Office Bathroom Home Decoration",SGD 220.56,,4.3,26,N/A,https://m.media-amazon.com/images/I/712FgCgcoCL._AC_UL320_.jpg,home
"Large 4 Pack Gold Wall Art Décor, Minimalist Décor Single Line Art Wall Décor, Real Metal Wall Art, for Kitchen Bedroom Living Room (Black Classic Style, L size 22.5x15.7'')",SGD 178.66,SGD 44.67,4.6,328,N/A,https://m.media-amazon.com/images/I/71AJwOMbzNL._AC_UL320_.jpg,home
"LZAOA Abstract Black Metal Wall Art-3D Textured Metal Wall Sculptures, Minimalist Line Art Decor, 4 Pcs Modern Wall Art, Suitable for Living Room Bedroom Dining Room Study Room - Housewarming (Black",SGD 169.87,SGD 42.48,4.3,16,N/A,https://m.media-amazon.com/images/I/712Y9nIR39L._AC_UL320_.jpg,home
ITrixgan 7 Pieces Black Wall Art Metal Modern Round Large Sunburst Hanging Wall Decor Above Bed TV for Home Office Bedroom Living Room,SGD 154.64,,4.6,127,N/A,https://m.media-amazon.com/images/I/51klel1Br+L._AC_UL320_.jpg,home
"Kunsen Hygroscopic Bedroom Decor Accessories 130x200cm, Grayish Black Modern abstract design for the entrance of living room corridor",SGD 142.18,,,,N/A,https://m.media-amazon.com/images/I/815o8aBuBIL._AC_UL320_.jpg,home
"Abstract Black Metal Wall Art-3D Textured Sculptures,Minimalist Line Art Decor,3 Pcs Modern Wall Art,Suitable for Living room Bedroom Dining Room Study Room - Housewarming (Black Abstract 23"" x 15"")",SGD 142.05,SGD 47.34,4.2,25,N/A,https://m.media-amazon.com/images/I/81DEIBrqKSL._AC_UL320_.jpg,home
sechars Roses with Butterflies Wall Art Fashion Glam Floral Painting Print Framed Canvas Set Black and Pink Bathroom Decor (Pink),SGD 128.08,,,,N/A,https://m.media-amazon.com/images/I/71k21uD4rRL._AC_UL320_.jpg,fashion
"Torre & Tagus Abstract Black and White Vase - 7.25x5.5 Tall Modern Decor Ceramic Vase for Flowers with Stripes - Aesthetic Room Decor for Living Room Shelf, Fireplace Mantel, Entryway Console Table",SGD 117.59,,4.6,243,N/A,https://m.media-amazon.com/images/I/61OyUhjm9FL._AC_UL320_.jpg,other
"16"" Modern Abstract Ribbon Decorative Sculpture, Knot Sculptures,Home Decor,Coffee Table Statues,Dining Living Room Desk Decor（Black）",SGD 104.28,,4.1,7,N/A,https://m.media-amazon.com/images/I/51ppExiTG8L._AC_UL320_.jpg,home
"WINUSD 23in Black Large Abstract Metal Wall Art, 4Pcs Minimalist Modern Single Line Art Wall Decor, 3D Textured Hollow Out Design Wall Sculptures, Metal Artwork for Wall Art for Living Room Kitchen",SGD 99.36,SGD 24.85,4.3,33,N/A,https://m.media-amazon.com/images/I/71J4lsN7TaL._AC_UL320_.jpg,home
"Home Decor Modern Abstract Art Ceramic Statue - 2 PCS Black and Gold Sculptures, Mid Century Modern Decor, Elegant Table Centerpieces for Dining Room, Living Room, Office, Entryway, Bookshelf, Mantel",SGD 93.02,,5.0,4,N/A,https://m.media-amazon.com/images/I/617yqKGfn3L._AC_UL320_.jpg,home
"4 Pieces Abstract Black Metal Flowers Wall Sculptures for Home Decor, Contemporary Floral Wall Art Set, Modern Black Line Wall Hanging Decorations for Bedroom Living Room Bathroom,12 x 17 Inches",SGD 88.33,,4.6,4,N/A,https://m.media-amazon.com/images/I/71LlxW2YcGL._AC_UL320_.jpg,home
