title,price,original_price,rating,reviews,link,image,category
Gold Wall Wine Glass Holder - Metal Support for Wine & Champagne Glasses - Glass Display Rack - Bar Accessory - Elegant & Functional Decor,"SGD 5,404.24",,,,N/A,https://m.media-amazon.com/images/I/613ClO2PPXL._AC_UL320_.jpg,other
Golden Wall Wine Rack & Metal Ceiling Shelf for Wine & Champagne Glasses Home Bar Accessories & Decor Stylish Display for Kitchen or Living Room.,"SGD 4,153.41",,,,N/A,https://m.media-amazon.com/images/I/613ClO2PPXL._AC_UL320_.jpg,home
Adjustable Metal Shoe Rack - Space-Saving Stackable Vertical Organizer for Small Closets - Pull-Out Shoe & Accessory Storage - Black 50cm - Ideal for Home & Apartment,"SGD 1,931.05",,,,N/A,https://m.media-amazon.com/images/I/71LAvv1IfAL._AC_UL320_.jpg,fashion
Adjustable 11-Tier Shoe Rack Cabinet - 360° Rotating Organizer for Entryway - Space-Saving Black Shelf for Shoes and Accessories (75CM/29.6IN),"SGD 1,826.53",,,,N/A,https://m.media-amazon.com/images/I/71teyqS276L._AC_UL320_.jpg,fashion
"Adjustable 7-Tier Pull-Out Shoe Rack - Space-Saving Vertical Metal Organizer for Closet, Height Adjustable 39.8-44.4in, Sturdy Black Storage Solution for Shoes and Accessories","SGD 1,329.63",,,,N/A,https://m.media-amazon.com/images/I/61EaoV704iL._AC_UL320_.jpg,fashion
Black Metal Shoe Bench with Synthetic Leather Upholstery for Entryway Hallway Size 70 x 32.5 x 48 cm Stylish Storage Solution for Shoes and Accessories,SGD 846.43,,,,N/A,https://m.media-amazon.com/images/I/61TlfKVaORL._AC_UL320_.jpg,fashion
"Kare Design Deco Object Thinking Gorilla Head, Black, Modern, Handmade, Animal Statue, Gift Idea, Decorative Accessories, Decoration Home Decor for Living Room, Bedroom, 49x29x26 cm",SGD 303.27,,4.8,38,N/A,https://m.media-amazon.com/images/I/81X9x7+uDzL._AC_UL320_.jpg,home
"Deer Head Wall Mount Art,Taxidermy Wall Decor Deer Head With Antlers Sculptures Statues,Country Home Accessories Decorative Animal Heads,Home Bedroom Corridor Deer Head Wall Decoration",SGD 251.95,,,,N/A,https://m.media-amazon.com/images/I/51z1heF835L._AC_UL320_.jpg,home
"Clamp on Desk Shelf, 24in 2-Tier Office Desk Shelves Organizer, Shelf for Top of Desk with Headphone Holder and Hooks, Desktop Storage Rack for Home Workspace, Study Rooms, Gaming Accessories",SGD 176.83,,4.7,42,N/A,https://m.media-amazon.com/images/I/71vWVzFZMAL._AC_UL320_.jpg,electronics
"Madison Park Modern Luxe Geomatric Art Sculpture Design Living Room Shelf Accessories, Metal, Black/Gold, Multi Size",SGD 164.63,,4.4,91,N/A,https://m.media-amazon.com/images/I/71NCK-fueOL._AC_UL320_.jpg,other
