title,price,original_price,rating,reviews,link,image,category
Osmo Color Psycho Wild Black Semi Permanent Hair Colour Cream Dye 150ml (Pack of 2),SGD 34.95,SGD 11.65,4.2,581,N/A,https://m.media-amazon.com/images/I/71h7a+yfwZL._AC_UL320_.jpg,other
BioKap Natural Medium Blond 7.0 Rapid Permanent Hair Colour Organic & Vegan Formula for Sensitive Skin 135ml,,,4.0,209,N/A,https://m.media-amazon.com/images/I/718nAoCnTnL._AC_UL320_.jpg,other
"L'Oréal Paris Excellence Crème Permanent Hair Dye, Radiant At-Home Hair Colour with up to 100% Grey Coverage, Pro-Keratin, Up to 8 Weeks of Colour, Colour: 3 Natural Darkest Brown",,,4.4,256,N/A,https://m.media-amazon.com/images/I/714kcnFiabL._AC_UL320_.jpg,home
L'Oreal Paris Casting Creme Gloss Hair Colourant 360 Black Cherry,,,4.2,142,N/A,https://m.media-amazon.com/images/I/61RNOBcc6PL._AC_UL320_.jpg,other
33/0 Dark Brown Intensive Wella Koleston Perfect Me+ Pure Naturals 60ml,,,4.6,521,N/A,https://m.media-amazon.com/images/I/619kOrTTAhL._AC_UL320_.jpg,other
"Hair Colour Wax, Natural Material Temporary Hair Colour for Women Men, Instant Styling Temporary Hair Dye for Party Birthday Halloween Cosplay (Black)",SGD 13.62,SGD 11.36,3.8,3.9K,N/A,https://m.media-amazon.com/images/I/714o0A4crbL._AC_UL320_.jpg,other
Crazy Color Natural Black Semi-Permanent Hair Dye. Highly Pigmented Brown Black Conditioning & Oil Nourishing Vegan Formula | No Bleach or Ammonia | 100ml,SGD 10.71,SGD 10.71,3.9,2.6K,N/A,https://m.media-amazon.com/images/I/71OZggBaX7L._AC_UL320_.jpg,other
"Just for men Ultra Darkest Black Hair Colour Dye for Short Hair, Comb Away the Greys, A65",SGD 10.43,SGD 10.43,4.0,5.7K,N/A,https://m.media-amazon.com/images/I/91P0rGN0EAL._AC_UL320_.jpg,other
"Revlon ColorStay Xtensionnaire Mascara, Blackest Black",SGD 18.83,SGD 23.54,4.1,152,N/A,https://m.media-amazon.com/images/I/71c54Km-B3L._AC_UL320_.jpg,other
2PCS Tatto Ink Black,SGD 17.12,,4.6,12,N/A,https://m.media-amazon.com/images/I/61UsssOWLrL._AC_UL320_.jpg,other
"Technic Mega Lash Water Resistant Mascara - Vegan, Ultra Black, Water Resistant, Hard wearing, Smudge-Proof, Lash Building Formula For Volume Glam Lashes - 12ml",SGD 7.28,SGD 6.07,4.3,12.1K,N/A,https://m.media-amazon.com/images/I/61PbQLUTGxL._AC_UL320_.jpg,other
Black Mascara for Older Women Fiber Lash Mascara for Seniors with Thinning Lashes Waterproof Volumizing Natural Hypoallergenic Mascara for Sensitive Eyes (Pack of 1),SGD 10.18,SGD 14.55,4.0,1.6K,N/A,https://m.media-amazon.com/images/I/714cxZuGldL._AC_UL320_.jpg,other
